"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","nom_qr"
"1",543823,"Nice large bedroom in Outremont",2673521,"Rémi",NA,"Outremont",45.5201410486329,-73.612949624787,"Entire home/apt",105,1,8,"2014-08-22",0.17,2,193,"Outremont"
"2",533084,"parisian apartment in Outremont ",2619674,"Maude",NA,"Outremont",45.5182244571138,-73.5965125510949,"Entire home/apt",50,4,9,"2014-10-05",0.19,1,0,"Outremont"
"3",488959,"Nice flat in great neighbourhood",110792,"Philipp",NA,"Outremont",45.5186576880936,-73.6127129898752,"Entire home/apt",80,2,0,"",NA,1,0,"Outremont"
"4",5915025,"Big Gorgeous Sunny Gem w Roof Deck",5162168,"Adam",NA,"Outremont",45.5210008789232,-73.6134928937846,"Entire home/apt",150,3,5,"2015-08-04",0.41,1,0,"Outremont"
"5",753348,"Cozy apartment in Montreal",3945222,"Adeline",NA,"Outremont",45.5201403303866,-73.615520323415,"Entire home/apt",60,2,3,"2016-03-12",0.16,1,255,"Outremont"
"6",152630,"Nice and sunny condo/Outremont",734359,"Nicole",NA,"Outremont",45.5171904131365,-73.6179878914145,"Entire home/apt",110,5,2,"2015-08-24",0.21,1,365,"Outremont"
"7",1564714,"Outremont - Mile-End",8323794,"Jean-François",NA,"Outremont",45.5225193964466,-73.609019960252,"Entire home/apt",50,7,9,"2015-12-14",0.28,1,272,"Outremont"
"8",6502061,"The coolest location in Montreal.",24558497,"Anna",NA,"Outremont",45.5237334724727,-73.6122896621434,"Private room",48,1,19,"2016-03-22",1.83,1,323,"Outremont"
"9",382929,"Must love cats - flat in Montreal!",1890533,"Nadia",NA,"Outremont",45.5207602896225,-73.6128080568071,"Private room",40,3,9,"2016-04-12",0.42,1,151,"Outremont"
"10",3821194,"Super chill Private room Montréal",9556722,"Jean",NA,"Outremont",45.5203258506221,-73.6090654662985,"Private room",50,1,2,"2016-04-12",0.75,2,338,"Outremont"
