nom_qr,sp_cap,cult_cap,soc_cap,decpoor,incrich,Dif,Sum,gent
Outremont,2.46,0.013072824,0.455,3,4,1,7,4
L'Île-Bizard-Sainte-Geneviève,2.25,0.128061224,0.525,2,3,1,5,3
Pierrefonds-Roxboro,2.37,0.038403279,0.496,2,3,1,5,3
Lachine,2.48,0.011744966,0.676153846,0,4,4,4,3
Anjou,1.41,0.010048056,0.520714286,3,2,-1,5,3
LaSalle,1.86,0.029954327,0.46,1,2,1,3,2
Verdun,2.45,0.005274099,0.498,3,4,1,7,4
Le Plateau-Mont-Royal,2.46,0.0389626,0.472270742,2,5,3,7,4
Ahuntsic-Cartierville,2.56,0.067543064,0.494761905,3,4,1,7,4
Saint-Laurent,2.45,0.037820513,0.552745098,3,4,1,7,3
Côte-des-Neiges-Notre-Dame-de-Grâce,2.67,0.025249467,0.466971831,2,3,1,5,3
Rivière-des-Prairies-Pointe-aux-Trembles,2.42,0.010077962,0.646666667,3,3,0,6,3
Ville-Marie,2.83,0.099661284,0.528741044,2,6,4,8,5
Saint-Léonard,1.83,0.041640138,0.3825,2,2,0,4,2
Mercier-Hochelaga-Maisonneuve,2.54,0.156913466,0.549047619,2,3,1,5,3
Rosemont-La Petite-Patrie,2.64,0.023262137,0.514913793,3,5,2,8,5
Montréal-Nord,2.07,0.050430897,0.675,2,1,-1,3,2
Le Sud-Ouest,2.66,0.020469233,0.507361111,5,6,1,11,6
Villeray-Saint-Michel-Parc-Extension,2.76,0.060829734,0.498,2,3,1,5,3
