"","venue_id","lat","lon","cat","top_cat","name","users","checkins","nom_qr","nom_arr"
"1","4b527439f964a5200a7e27e3",45.507996,-73.55953,"Vietnamese","Food","Pho Cali",167,274,"René-Lévesque","Ville-Marie"
"2","4bc47682461576b0d3e87f32",45.54171,-73.6754,"Grocery Store","Shops & Services","Loblaws",81,282,"Nicolas-Viel","Ahuntsic-Cartierville"
"3","4c005c70379020a12b64467f",45.52562,-73.62887,"Greek","Food","Elatos Souvlaki",7,9,"Parc-Extension","Villeray–Saint-Michel–Parc-Extension"
"5","4c5d87697f661b8d68814b1c",45.50271,-73.553894,"French","Food","L'Arrivage",62,121,"Vieux-Montréal","Ville-Marie"
"6","4cf9057201568cfa90bc23e7",45.540985,-73.61387,"Arts & Crafts","Shops & Services","Ultra Text Inc",3,9,"Crémazie","Villeray–Saint-Michel–Parc-Extension"
"7","4c0a744ba1b32d7fa04c99f0",45.71529,-73.511215,"Apparel","Shops & Services","Mexx",16,21,NA,NA
"8","4b774956f964a520f38e2ee3",45.530384,-73.554085,"Performing Arts","Arts & Entertainment","Espace Libre",74,110,"Sainte-Marie","Ville-Marie"
"9","4ad4c06ff964a5202ffb20e3",45.49784,-73.57533,"Department Store","Shops & Services","La Maison Ogilvy",851,1711,"René-Lévesque","Ville-Marie"
"11","4ae764ccf964a520ebaa21e3",45.534275,-73.618645,"Italian","Food","Mikes",60,478,"Saint-Édouard","Rosemont–La Petite-Patrie"
"13","4b089701f964a520040f23e3",45.520763,-73.608154,"Gourmet","Shops & Services","Les 5 Saisons",105,448,"Outremont","Outremont"
"14","4ad4c06df964a5205bfa20e3",45.50794,-73.56056,"Chinese","Food","La Maison V.I.P",209,339,"René-Lévesque","Ville-Marie"
"15","4d5f18e6b19fa143a5cfe2c8",45.477142,-73.61507,"Diner","Food","Ambre",16,20,"Côte-Saint-Antoine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"16","4b1e7102f964a520fe1924e3",45.552013,-73.56569,"Kids Store","Shops & Services","Rose ou Bleu",86,159,"Petite-Côte","Rosemont–La Petite-Patrie"
"19","4c53a0b4728920a135106581",45.519287,-73.55549,"Steakhouse","Food","Le Steak frites St-Paul",671,1102,"Sainte-Marie","Ville-Marie"
"20","4cc200d2b2beb1f7390b0d4c",45.51968,-73.55491,"Steakhouse","Food","Sablo Steak & Bar a Huitres",8,8,"Sainte-Marie","Ville-Marie"
"22","4df1637018386ecb4e279151",45.546795,-73.639275,"Sushi","Food","Sushi Maniyori",1,1,"Saint-Sulpice","Ahuntsic-Cartierville"
"25","4e1ecc3f62e19e27e24d008e",45.50767,-73.552444,"Road","Travel & Transport","Rue Saint-Paul",30,44,"Vieux-Montréal","Ville-Marie"
"26","4ca0b1950e9bb1f79d96fa5f",45.49655,-73.58093,"Medical","Professional & Other Places","Metro Medic Clinique",71,106,"René-Lévesque","Ville-Marie"
"27","4b678f16f964a52036552be3",45.55724,-73.72532,"Sushi","Food","Kanda",84,140,NA,NA
"28","4d84e7455e70224b3ccc1609",45.457203,-73.75188,"Gate","Travel & Transport","Air Canada- Usa Baggage Drop",43,57,"Dorval",NA
"29","4ba2b4f8f964a5201e1238e3",45.525597,-73.612236,"Coworking Space","Professional & Other Places","Made of Stills",12,47,"Mile End","Le Plateau-Mont-Royal"
"30","4bb525de2ea19521b911aa2f",45.4751,-73.642,"Desserts","Food","Baskin Robbins",36,49,"Côte-Saint-Antoine","Côte-des-Neiges–Notre-Dame-de-Grâce"
"31","4dc4456d1f6ef43b89f7ea36",45.464325,-73.830505,"Shops","Shops & Services","Pandora Fairview",12,30,"Pointe-Claire",NA
"33","4bed2d5791380f47607e9f18",45.467655,-73.59965,"Road","Travel & Transport","Achangeur Turcot",194,1415,"Saint-Henri","Le Sud-Ouest"
"37","4e08aecc62e100e581770533",45.468876,-73.53908,"Pool","Outdoors & Recreation","YP Resort",20,118,"Ile-des-Soeurs","Verdun"
"38","4bc73cfd8b7c9c74c30536cf",45.500816,-73.56377,"Coffee Shop","Food","La Petite Cloche",29,503,"René-Lévesque","Ville-Marie"
"40","4de5e6798877a085f8bc935f",45.557056,-73.547905,"Coworking Space","Professional & Other Places","Jaysaid. Headquarters",1,5,"Maisonneuve","Mercier–Hochelaga-Maisonneuve"
"42","4b8ac094f964a5209a7e32e3",45.5951,-73.57044,"Food & Drink","Shops & Services","Bonanza",44,141,"Grande-Prairie","Saint-Léonard"
"45","4bcb29b6fb84c9b6d9381e3e",45.708046,-73.62211,"Bowling Alley","Arts & Entertainment","Salon de Quilles Grande AllAe",27,34,NA,NA
"47","4b5a36e9f964a520c0b428e3",45.50008,-73.48711,"Brewery","Food","bistro des bieres belges",93,169,NA,NA
"49","4b198f4bf964a52087df23e3",45.595943,-73.53498,"Sushi","Food","Nippori Sushi",24,72,"Tétreaultville","Mercier–Hochelaga-Maisonneuve"
"51","4dea42dec65be8091da04147",45.3374,-73.28916,"Automotive","Shops & Services","Voie Rapide",2,6,NA,NA
"52","4c2665efa852c928e996e66c",45.526375,-73.5355,"Theme Park","Arts & Entertainment","Le Goliath",181,227,"Vieux-Montréal","Ville-Marie"
"54","4d80f38e208a5481215b7e67",45.607147,-73.613945,"Video Games","Shops & Services","EB Games MontrAal-Nord",8,28,"Est","Montréal-Nord"
"55","4adcd6fef964a5205e3021e3",45.560947,-73.54712,"Subway","Travel & Transport","STM Station Viau",236,1319,"Maisonneuve","Mercier–Hochelaga-Maisonneuve"
"56","4c50e024375c0f47a3f10193",45.5191,-73.572685,"Bike","Travel & Transport","Station BIXI",19,69,"Saint-Louis","Le Plateau-Mont-Royal"
"57","4bfe16f38992a593d619adb0",45.479115,-73.58197,"Strip Club","Nightlife Spots","Montreal Strip Club",37,53,"Saint-Henri","Le Sud-Ouest"
"58","4b7487d4f964a5202ae22de3",45.543663,-73.62883,"Pharmacy","Shops & Services","Pharmacie Jean Coutu",78,234,"Crémazie","Villeray–Saint-Michel–Parc-Extension"
"59","4c4e433651c2c92893e3129e",45.45798,-73.571594,"Pizza","Food","Pizza Mory",12,13,"Verdun-Centre","Verdun"
"61","4de7aff2fa763961426d0864",45.508167,-73.55408,"Bike shop","Shops & Services","Station BIXI",11,30,"Vieux-Montréal","Ville-Marie"
"63","4bc12eb02a89ef3b7c03f288",45.56697,-73.539085,"Racetrack","Arts & Entertainment","Action500 Karting",101,112,"Longue-Pointe","Mercier–Hochelaga-Maisonneuve"
"64","4bf738355317a593eac2fd7e",45.51119,-73.5824,"Field","Outdoors & Recreation","Forbes Field",41,98,"Montagne","Ville-Marie"
"65","4e7236231520cc03b4d5cb65",45.50385,-73.56866,"Convention Center","Professional & Other Places","En ville sans ma voiture!",4,8,"René-Lévesque","Ville-Marie"
"67","4d10e4f8c3dc3704923e3c74",45.53554,-73.50792,"Sushi","Food","Kinja Matsuya Sushi Restaurant",10,29,NA,NA
"68","4c13d6a0a9c220a1797e569d",45.611904,-73.58193,"Coffee Shop","Food","Tim Hortons",64,270,"Anjou","Anjou"
